domain_id,domain_name,domain_size
W06000001,Isle of Anglesey,57146
W06000002,Gwynedd,97974
W06000003,Conwy,96364
W06000004,Denbighshire,78907
W06000005,Flintshire,127581
W06000006,Wrexham,110270
W06000008,Ceredigion,61387
W06000009,Pembrokeshire,102555
W06000010,Carmarthenshire,155484
W06000011,Swansea,197864
W06000012,Neath Port Talbot,117183
W06000013,Bridgend,119481
W06000014,Vale of Glamorgan,107456
W06000015,Cardiff,296311
W06000016,Rhondda Cynon Taff,193843
W06000018,Caerphilly,143485
W06000019,Blaenau Gwent,55140
W06000020,Torfaen,75111
W06000021,Monmouthshire,78244
W06000022,Newport,127425
W06000023,Powys,112540
W06000024,Merthyr Tydfil,47682
