domain_id,domain_size
W02000001,8402
W02000002,6367
W02000003,10633
W02000004,7401
W02000005,8165
W02000006,7042
W02000007,6894
W02000008,5951
W02000009,8035
W02000010,8626
W02000011,8376
W02000012,8203
W02000013,6428
W02000014,6734
W02000015,8516
W02000016,6372
W02000017,7572
W02000018,6084
W02000019,6658
W02000020,6481
W02000021,7750
W02000022,5555
W02000023,5286
W02000024,5680
W02000025,6124
W02000026,6956
W02000027,8419
W02000028,6713
W02000029,5994
W02000030,5882
W02000031,8169
W02000032,8384
W02000033,6959
W02000034,7665
W02000035,8892
W02000036,11291
W02000037,7192
W02000038,6214
W02000039,7836
W02000040,6603
W02000041,8514
W02000042,5851
W02000043,5245
W02000044,5309
W02000045,9570
W02000047,5565
W02000049,6660
W02000050,6381
W02000051,5303
W02000052,5007
W02000053,6313
W02000054,6133
W02000055,5695
W02000056,5185
W02000057,6232
W02000419,11355
W02000058,5121
W02000059,6574
W02000060,10752
W02000061,7629
W02000062,6107
W02000063,8124
W02000064,6123
W02000065,7272
W02000066,9840
W02000067,6826
W02000068,5196
W02000069,6255
W02000070,10618
W02000071,7042
W02000072,11670
W02000073,10151
W02000074,9859
W02000075,6442
W02000076,7317
W02000077,6043
W02000080,7870
W02000081,5951
W02000082,7666
W02000083,8688
W02000085,8921
W02000087,6870
W02000088,8677
W02000089,8620
W02000090,5699
W02000091,6196
W02000092,6731
W02000093,6552
W02000094,8892
W02000095,6390
W02000096,6456
W02000424,6679
W02000425,8338
W02000426,9890
W02000116,7359
W02000117,8980
W02000118,6453
W02000120,7070
W02000122,6327
W02000123,7680
W02000124,8681
W02000125,7454
W02000421,11484
W02000126,8226
W02000127,9630
W02000128,7239
W02000129,7222
W02000130,6708
W02000131,7205
W02000132,6987
W02000133,8272
W02000134,8343
W02000135,7354
W02000136,8300
W02000137,7449
W02000138,9647
W02000139,7724
W02000140,7280
W02000141,5790
W02000142,5564
W02000143,5572
W02000144,7605
W02000145,7089
W02000146,6524
W02000147,8477
W02000148,5289
W02000149,6450
W02000151,7414
W02000152,8650
W02000153,8672
W02000154,7850
W02000156,8421
W02000157,10103
W02000158,5892
W02000159,6193
W02000160,7643
W02000161,5189
W02000162,8206
W02000163,5339
W02000164,7429
W02000165,6584
W02000166,9164
W02000167,10310
W02000418,12251
W02000168,6519
W02000169,9138
W02000170,8680
W02000171,8448
W02000172,10242
W02000173,7897
W02000174,9638
W02000175,7347
W02000176,8949
W02000177,6997
W02000178,8916
W02000179,6477
W02000180,8009
W02000181,7397
W02000182,7526
W02000183,10211
W02000184,6766
W02000185,5029
W02000186,8836
W02000188,8080
W02000189,8244
W02000191,8774
W02000192,9123
W02000193,8816
W02000194,6543
W02000195,5790
W02000196,6274
W02000197,6037
W02000198,7267
W02000428,10496
W02000200,5141
W02000201,5272
W02000202,12446
W02000204,6610
W02000205,5728
W02000206,6605
W02000207,5247
