domain_id,domain_name,domain_size
W02000001,Isle of Anglesey 001,7053
W02000002,Isle of Anglesey 002,5483
W02000003,Isle of Anglesey 003,8311
W02000004,Isle of Anglesey 004,6299
W02000005,Isle of Anglesey 005,7069
W02000006,Isle of Anglesey 006,5574
W02000007,Isle of Anglesey 007,5605
W02000008,Isle of Anglesey 008,5093
W02000009,Isle of Anglesey 009,6668
W02000010,Gwynedd 001,7931
W02000011,Gwynedd 002,6627
W02000012,Gwynedd 003,6680
W02000013,Gwynedd 004,5269
W02000014,Gwynedd 005,5573
W02000015,Gwynedd 006,6717
W02000016,Gwynedd 007,5246
W02000017,Gwynedd 008,6163
W02000018,Gwynedd 009,4987
W02000019,Gwynedd 010,5631
W02000020,Gwynedd 011,5449
W02000021,Gwynedd 012,6424
W02000022,Gwynedd 013,4778
W02000023,Gwynedd 014,4443
W02000024,Gwynedd 015,4739
W02000025,Gwynedd 016,5199
W02000026,Gwynedd 017,6117
W02000027,Conwy 001,7378
W02000028,Conwy 002,5564
W02000029,Conwy 003,5192
W02000030,Conwy 004,5101
W02000031,Conwy 005,6852
W02000032,Conwy 006,7093
W02000033,Conwy 007,5681
W02000034,Conwy 008,6395
W02000035,Conwy 009,7154
W02000036,Conwy 010,9570
W02000037,Conwy 011,5852
W02000038,Conwy 012,5280
W02000039,Conwy 013,6568
W02000040,Conwy 014,5559
W02000041,Conwy 015,7118
W02000042,Denbighshire 001,4918
W02000043,Denbighshire 002,4362
W02000044,Denbighshire 003,4514
W02000045,Denbighshire 004,7745
W02000047,Denbighshire 006,4094
W02000049,Denbighshire 008,5442
W02000050,Denbighshire 009,5344
W02000051,Denbighshire 010,4529
W02000052,Denbighshire 011,4033
W02000053,Denbighshire 012,5218
W02000054,Denbighshire 013,5231
W02000055,Denbighshire 014,4693
W02000056,Denbighshire 015,4253
W02000057,Denbighshire 016,5332
W02000419,Denbighshire 017,9201
W02000058,Flintshire 001,4374
W02000059,Flintshire 002,5375
W02000060,Flintshire 003,8653
W02000061,Flintshire 004,6080
W02000062,Flintshire 005,5092
W02000063,Flintshire 006,7011
W02000064,Flintshire 007,4962
W02000065,Flintshire 008,5962
W02000066,Flintshire 009,7897
W02000067,Flintshire 010,5542
W02000068,Flintshire 011,4389
W02000069,Flintshire 012,5227
W02000070,Flintshire 013,8778
W02000071,Flintshire 014,5971
W02000072,Flintshire 015,9464
W02000073,Flintshire 016,8324
W02000074,Flintshire 017,8053
W02000075,Flintshire 018,5198
W02000076,Flintshire 019,6196
W02000077,Flintshire 020,5033
W02000080,Wrexham 003,6272
W02000081,Wrexham 004,4704
W02000082,Wrexham 005,6074
W02000083,Wrexham 006,6937
W02000085,Wrexham 008,7613
W02000087,Wrexham 010,5042
W02000088,Wrexham 011,7217
W02000089,Wrexham 012,6887
W02000090,Wrexham 013,4609
W02000091,Wrexham 014,5101
W02000092,Wrexham 015,5450
W02000093,Wrexham 016,5378
W02000094,Wrexham 017,7099
W02000095,Wrexham 018,5384
W02000096,Wrexham 019,5353
W02000424,Wrexham 021,5763
W02000425,Wrexham 022,7173
W02000426,Wrexham 023,8198
W02000116,Ceredigion 001,6171
W02000117,Ceredigion 002,8390
W02000118,Ceredigion 003,5375
W02000120,Ceredigion 005,6102
W02000122,Ceredigion 007,5475
W02000123,Ceredigion 008,6468
W02000124,Ceredigion 009,7302
W02000125,Ceredigion 010,6404
W02000421,Ceredigion 011,9720
W02000126,Pembrokeshire 001,6927
W02000127,Pembrokeshire 002,8102
W02000128,Pembrokeshire 003,6229
W02000129,Pembrokeshire 004,5964
W02000130,Pembrokeshire 005,5325
W02000131,Pembrokeshire 006,5835
W02000132,Pembrokeshire 007,5937
W02000133,Pembrokeshire 008,6951
W02000134,Pembrokeshire 009,6991
W02000135,Pembrokeshire 010,5931
W02000136,Pembrokeshire 011,7178
W02000137,Pembrokeshire 012,5938
W02000138,Pembrokeshire 013,7815
W02000139,Pembrokeshire 014,6597
W02000140,Pembrokeshire 015,5834
W02000141,Pembrokeshire 016,4999
W02000142,Carmarthenshire 001,4694
W02000143,Carmarthenshire 002,4792
W02000144,Carmarthenshire 003,6564
W02000145,Carmarthenshire 004,6053
W02000146,Carmarthenshire 005,5594
W02000147,Carmarthenshire 006,6878
W02000148,Carmarthenshire 007,4240
W02000149,Carmarthenshire 008,5472
W02000151,Carmarthenshire 010,6061
W02000152,Carmarthenshire 011,7145
W02000153,Carmarthenshire 012,7338
W02000154,Carmarthenshire 013,6409
W02000156,Carmarthenshire 015,6928
W02000157,Carmarthenshire 016,8278
W02000158,Carmarthenshire 017,4839
W02000159,Carmarthenshire 018,5077
W02000160,Carmarthenshire 019,6308
W02000161,Carmarthenshire 020,4213
W02000162,Carmarthenshire 021,6999
W02000163,Carmarthenshire 022,4311
W02000164,Carmarthenshire 023,6236
W02000165,Carmarthenshire 024,5274
W02000166,Carmarthenshire 025,7227
W02000167,Carmarthenshire 026,8275
W02000418,Carmarthenshire 027,10263
W02000168,Swansea 001,5254
W02000169,Swansea 002,7484
W02000170,Swansea 003,7271
W02000171,Swansea 004,6829
W02000172,Swansea 005,8313
W02000173,Swansea 006,6285
W02000174,Swansea 007,7905
W02000175,Swansea 008,6096
W02000176,Swansea 009,7319
W02000177,Swansea 010,5628
W02000178,Swansea 011,6578
W02000179,Swansea 012,5468
W02000180,Swansea 013,6235
W02000181,Swansea 014,6064
W02000182,Swansea 015,6204
W02000183,Swansea 016,8478
W02000184,Swansea 017,5608
W02000185,Swansea 018,4279
W02000186,Swansea 019,6410
W02000188,Swansea 021,6708
W02000189,Swansea 022,6881
W02000191,Swansea 024,7743
W02000192,Swansea 025,8372
W02000193,Swansea 026,8123
W02000194,Swansea 027,5693
W02000195,Swansea 028,4921
W02000196,Swansea 029,5312
W02000197,Swansea 030,5200
W02000198,Swansea 031,6240
